Scenario,Repetition,UE,throughput_mbps,jitter_ms,lost_packets,total_packets,lost_percent,rtt_avg_ms,rtt_95p_ms,rtt_min_ms,rtt_max_ms,rtt_mdev_ms,packet_loss_percent
Baseline (UE1),1,ueransim-ue1,149.9995847400263,0.0020656690962287576,0,3884658,0,0.025,0.068,0.012,0.101,0.015,0.0
Baseline (UE1),2,ueransim-ue1,149.9995647400856,0.01274534931661296,0,3884658,0,0.023,0.056,0.014,0.149,0.013,0.0
Baseline (UE1),3,ueransim-ue1,149.99956524008405,0.0018267544435742772,0,3884658,0,0.024,0.062,0.013,0.193,0.015,0.0
Baseline (UE1),4,ueransim-ue1,149.99954124016207,0.00932382966023007,0,3884658,0,0.023,0.053,0.013,0.196,0.013,0.0
Baseline (UE1),5,ueransim-ue1,149.99956324009025,0.0043132033437507655,0,3884658,0,0.024,0.06104999999999995,0.013,0.18,0.015,0.0
High-Only (UE1),1,ueransim-ue1,149.99956524008405,0.00141280700700575,0,3884658,0,0.023,0.05104999999999995,0.012,0.253,0.015,0.0
High-Only (UE1),2,ueransim-ue1,149.99958574002346,0.002324694957648654,0,3884658,0,0.023,0.05104999999999995,0.012,0.259,0.015,0.0
High-Only (UE1),3,ueransim-ue1,149.99958324003055,0.00225687914019862,0,3884658,0,0.023,0.0440999999999999,0.011,0.186,0.014,0.0
High-Only (UE1),4,ueransim-ue1,149.99955524011565,0.0017155018740651893,0,3884658,0,0.025,0.069,0.011,0.112,0.016,0.0
High-Only (UE1),5,ueransim-ue1,149.99955474011725,0.0021464830545374807,0,3884658,0,0.025,0.07104999999999995,0.012,0.211,0.017,0.0
Medium-Only (UE2),1,ueransim-ue2,39.99992466669203,0.006513017378861237,0,1035910,0,0.023,0.037,0.014,0.137,0.011,0.0
Medium-Only (UE2),2,ueransim-ue2,39.999933733340626,0.007355235184966657,0,1035910,0,0.022,0.035,0.016,0.18,0.01,0.0
Medium-Only (UE2),3,ueransim-ue2,39.999928133351304,0.00883232629250789,0,1035910,0,0.023,0.039,0.015,0.186,0.01,0.0
Medium-Only (UE2),4,ueransim-ue2,39.999930133347306,0.0038008534826881857,0,1035910,0,0.023,0.037,0.015,0.098,0.01,0.0
Medium-Only (UE2),5,ueransim-ue2,39.999930400013454,0.00715314851297406,0,1035910,0,0.022,0.034,0.016,0.128,0.007,0.0
Competing (UE1-High),1,ueransim-ue1,149.99955024013192,0.002483052936168978,0,3884658,0,0.027,0.074,0.011,0.187,0.018,0.0
Competing (UE1-High),2,ueransim-ue1,149.99964146673838,0.005334451165318147,0,3884660,0,0.025,0.068,0.012,0.108,0.016,0.0
Competing (UE1-High),3,ueransim-ue1,149.99955524011565,0.0040382764840936275,0,3884658,0,0.026,0.065,0.014,0.269,0.019,0.0
Competing (UE1-High),4,ueransim-ue1,149.9995657400825,0.0011727775225354041,0,3884658,0,0.025,0.065,0.011,0.235,0.017,0.0
Competing (UE1-High),5,ueransim-ue1,149.99956324009025,0.004506264388477821,0,3884658,0,0.026,0.07,0.012,0.107,0.017,0.0
Competing (UE2-Medium),1,ueransim-ue2,39.999922533363545,0.0071699105145919565,0,1035910,0,0.028,0.07004999999999996,0.012,0.198,0.018,0.0
Competing (UE2-Medium),2,ueransim-ue2,39.99991880003925,0.008070658607127893,0,1035910,0,0.028,0.074,0.013,0.263,0.019,0.0
Competing (UE2-Medium),3,ueransim-ue2,39.99992920001581,0.005162610404627687,0,1035910,0,0.028,0.07004999999999996,0.013,0.223,0.019,0.0
Competing (UE2-Medium),4,ueransim-ue2,39.99992986668116,0.006767257974692328,0,1035910,0,0.026,0.068,0.011,0.181,0.016,0.0
Competing (UE2-Medium),5,ueransim-ue2,39.999930400013454,0.005601255796282093,0,1035910,0,0.027,0.068,0.014,0.248,0.017,0.0
